listingMapId;listingName;CoutMenage;TauxCommission
482204;Studio - 46 (Didier );29;0.18
481903;T4 - 90 Blagnac (Cédrine);69;0.15
485104;T2 - 65 (Gabriel);39;0.15
482324;T2 - 29 (Philippe);39;0.15
493047;Studio - 96 (Florane);29;0.19
487144;Studio - Puits vert (Caroline);29;0.15
491496;T2 - 09 (Fatine);39;0.19
480140;T3 - 18 cugnaux (David);55;0.19
497801;04 Rue Engalières;55;0.19
480142;Studio - St Pierre (florane);29;0.19
480139;T3 - 310 muret (David);55;0.19
480136;Studio - Cote pavé (François);29;0.18
480137;T3 - sept deniers (François);55;0.18
481998;Studio - 76 (Dureuil);35;0.19
482378;Studio - 97 (Maryline);35;0.15
480780;T2 - Cyprien (Clarisse);40;0.12
480141;Duo de T3 - (David);110;0.19
